otu	P6S2T2	P2S1T2	P3S1T3	P5S1T3	P6S2T3	P3S1T2	P1S2T3	P3S2T2	P5S2T1	P3S2T1	P2S1T1	P3S2T3	P5S2T2	P1S1T1	P4S1T3	P2S1T3	P4S1T1	P5S2T3	P1S1T2	P4S2T1	P2S2T1	P4S1T2	P6S1T2	P1S1T3	P4S2T3	P2S2T2	P4S2T2	P6S1T3	P1S2T1	P6S1T1	P2S2T3	P5S1T1	P6S2T1	P1S2T2	P3S1T1	P5S1T2	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
otu89	122	35	70	144	202	51	202	147	99	56	74	157	179	107	67	49	117	153	136	148	58	87	42	174	86	88	53	26	330	99	58	125	127	69	76	151	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Serpulaceae;g__Serpula;s__Serpula	Serpula	13	Saprotroph	Wood Saprotroph	Corticioid	Brown Rot	Probable	Serpula lacyrmans (dry rot) is an aggressive brown-rot fungus that causes very significant economic losses through degradation of wooden parts of buildings (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu87	44	282	66	103	53	156	151	105	77	84	91	105	79	87	117	182	197	60	80	171	257	199	48	116	184	118	106	41	87	48	132	29	37	64	53	109	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordaria;s__Sordaria	Sordaria	13	Saprotroph	Dung Saprotroph-Wood Saprotroph	NULL	Soft Rot	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu94	69	47	52	96	94	50	176	107	39	47	33	175	102	121	70	31	106	62	198	71	51	68	126	114	97	47	48	113	137	88	53	106	92	129	48	81	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Unclassified;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus	Pseudogymnoascus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	NULL	NULL	Possible	It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013), and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers. comm. Lindner DL)	Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649 ((https://doi.org/10.1016/j.funbio.2013.07.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu131	61	53	55	101	85	82	73	72	62	147	27	90	185	87	78	57	66	49	107	61	64	98	99	141	105	79	48	104	145	96	63	64	65	88	69	87	k__Eukaryota;p__Mucoromycota;c__Unclassified;o__Mortierellales;f__Mortierellaceae;g__Lobosporangium;s__Lobosporangium	Lobosporangium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu2	58	22	81	109	83	37	134	118	73	34	54	183	116	164	52	36	91	116	71	178	74	101	34	105	48	63	40	35	122	29	83	66	58	48	73	57	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Fomitiporia;s__Fomitiporia	Fomitiporia	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Polyporoid	White Rot	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu39	41	22	33	199	71	41	94	82	83	18	16	113	61	127	38	5	83	155	87	94	52	83	62	133	55	62	62	17	194	50	57	62	98	43	90	73	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Gloeophyllales;f__Gloeophyllaceae;g__Gloeophyllum;s__Gloeophyllum	Gloeophyllum	13	Saprotroph	Wood Saprotroph	Polyporoid	Brown Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
otu15	28	157	55	65	25	134	129	56	64	49	27	66	62	67	41	66	85	112	63	139	134	76	27	73	170	69	40	15	111	5	148	64	16	111	35	53	k__Eukaryota;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__Tuber	Tuberaceae	9	Symbiotroph	Ectomycorrhizal	Gasteroid	Hypogeous	Probable	Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu36	60	13	45	86	114	38	117	77	29	38	28	101	88	105	65	40	108	93	78	105	39	92	47	165	49	81	35	20	74	15	49	42	50	38	34	100	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Stereum;s__Stereum	Stereum	13	Saprotroph	Undefined Saprotroph	NULL	White Rot	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu67	21	180	18	40	44	65	70	67	36	53	30	47	37	67	41	202	52	13	71	56	162	50	19	56	76	116	37	19	68	25	83	20	36	40	47	14	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Neurospora;s__Neurospora	Neurospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu16	41	27	54	59	52	59	175	35	39	15	25	121	91	59	13	9	63	40	66	49	32	59	33	68	82	25	27	11	68	14	0	60	85	96	28	46	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Glarea;s__Glarea	Glarea	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu12	32	88	28	40	40	66	35	71	36	66	44	38	38	54	72	94	61	32	36	50	55	49	57	66	75	49	24	25	62	27	112	18	20	44	65	23	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia	Pichia	13	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Yeast	NULL	Probable	Found in wood and digestive systems of the beetle Odontotaenius disjunctus; Likely opportunistic human pathogen (Irinyi et al. 2015)	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))
otu1	23	118	43	30	39	48	44	100	23	79	38	93	42	29	22	62	60	33	29	83	42	52	28	64	108	54	47	23	46	28	80	26	22	20	52	17	k__Eukaryota;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia;s__Puccinia	Pucciniaceae	9	Pathotroph	Plant Pathogen	Rust	NULL	Probable	Biotrophic, heteroecious or autoecious, associated with leaf and stem tissue of a very wide range of plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu26	9	327	8	24	2	83	20	65	6	44	96	37	28	4	12	56	33	5	12	76	147	49	17	75	301	18	25	5	11	0	28	10	7	14	23	15	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
otu113	39	52	38	49	46	51	68	63	38	65	21	100	50	82	26	54	71	53	52	75	23	42	54	37	34	54	38	24	59	17	65	21	17	29	30	45	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cuniculitremaceae;g__Kockovaella;s__Kockovaella	Kockovaella	13	Symbiotroph	Epiphyte	Yeast	NULL	Probable	Foliar, isolated from a plant sample collected in a tropical rain forest in Thailand.	Fungsin B, et al. 2002. International Journal of Systematic and Evolutionary Microbiology 52:281-284 ((https://doi.org/10.1099/00207713-52-1-281))
otu90	31	19	25	88	53	25	83	34	24	22	24	66	59	41	34	19	62	38	64	71	25	64	10	94	32	47	20	12	88	32	34	47	26	41	37	29	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes	Trametes	13	Saprotroph	Wood Saprotroph	Polyporoid	White Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
otu52	18	41	38	62	27	21	63	42	22	11	24	82	39	54	42	12	43	37	39	49	79	65	20	169	50	52	17	14	95	17	29	29	23	35	13	43	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Dacryobolaceae;g__Postia;s__Postia	Postia	13	Saprotroph	Wood Saprotroph	Polyporoid	Brown Rot	Highly Probable	NULL	Jordan CR, et al. 1996. Holzforschung - International Journal of the Biology, Chemistry, Physics and Technology of Wood 50:312-318 ((https://doi.org/10.1515/hfsg.1996.50.4.312))
otu76	24	66	35	38	41	51	53	57	18	65	38	74	51	54	37	50	41	26	41	54	35	46	41	51	40	43	19	28	75	27	54	11	18	23	38	29	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Endocarpon;s__Endocarpon	Endocarpon	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
otu53	11	67	31	24	12	72	25	54	26	31	47	76	72	36	59	33	51	22	21	78	43	78	12	66	135	50	43	3	21	0	61	11	27	27	18	16	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Parastagonospora;s__Parastagonospora	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu118	12	61	52	29	23	102	31	98	24	82	32	60	36	22	30	37	50	25	15	46	38	49	30	30	56	33	22	25	44	20	34	10	17	38	51	21	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora	Pseudocercospora	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu47	16	32	15	52	24	43	35	35	25	49	14	126	35	44	34	14	92	9	33	49	24	147	4	47	74	41	39	10	55	16	17	14	29	2	11	6	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Fonsecaea;s__Fonsecaea	Fonsecaea	13	Pathotroph-Saprotroph	Animal Pathogen-Soil Saprotroph	Dimorphic Yeast	NULL	Probable	Fonsecaea pedrosoi is soil-borne and the major etiological agent of chromoblastomycosis, a chronic disease that can affect immunocompetent hosts (Cunha et al. 2010)	Cunha MML, et al. 2010 ((https://doi.org/10.1186/1471-2180-10-80)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); https://www.cdc.gov ((https://www.cdc.gov))
otu123	14	25	13	83	39	32	94	35	38	21	12	59	38	25	9	9	54	50	24	66	40	46	34	71	23	31	14	25	85	1	20	21	28	37	50	44	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Dichomitus;s__Dichomitus	Dichomitus	13	Saprotroph	Wood Saprotroph	Corticioid	White Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
otu79	15	49	31	21	23	51	38	47	16	53	29	67	24	31	39	39	47	23	46	32	34	27	43	48	47	35	26	20	68	24	63	23	14	19	39	28	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Isaria;s__Isaria	Isaria	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu37	8	97	60	25	9	52	25	49	26	24	36	17	15	15	32	41	46	29	20	59	25	38	23	35	166	58	46	7	6	25	56	3	9	26	36	20	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium	-	-	-	-	-	-	-	Unassigned	-
otu68	32	32	21	45	38	27	49	48	18	26	19	61	51	36	33	14	33	43	75	47	33	39	13	66	62	32	26	14	47	13	35	18	19	55	24	13	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__gattii	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Dimorphic Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
otu29	8	43	39	37	28	24	111	34	26	36	16	64	43	38	38	15	38	38	22	63	38	55	13	64	62	14	36	20	31	20	30	25	17	21	13	26	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis	Botrytis	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx))
otu127	15	56	15	30	28	31	46	46	17	52	29	59	33	24	40	52	39	25	33	31	20	59	22	51	46	40	28	19	38	18	49	25	16	40	33	13	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Sclerotinia;s__Sclerotinia	Sclerotinia	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu27	27	8	24	22	49	11	66	32	14	40	14	85	44	20	12	9	31	38	61	51	43	57	10	87	31	31	14	18	27	36	27	25	18	45	26	30	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis	Psathyrellaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Agaricoid	NULL	Probable	Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu96	111	3	2	18	61	2	21	2	7	2	1	9	99	4	23	2	6	5	7	8	0	1	200	20	1	0	6	149	18	118	6	41	158	24	0	6	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Unclassified;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus	Pseudogymnoascus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	NULL	NULL	Possible	It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013), and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers. comm. Lindner DL)	Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649 ((https://doi.org/10.1016/j.funbio.2013.07.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu14	25	24	27	53	32	32	37	24	21	2	10	49	26	35	10	0	48	28	52	42	21	29	28	66	68	14	42	12	20	17	42	37	15	16	23	20	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neofusicoccum;s__Neofusicoccum	Neofusicoccum	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu82	6	27	23	65	36	31	55	26	12	18	21	65	40	24	11	27	61	1	45	21	41	41	13	46	36	15	23	5	33	14	40	39	16	40	16	5	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Marssonina;s__Marssonina	Marssonina	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
