OTUID	P6S2T2	P2S1T2	P3S1T3	P5S1T3	P6S2T3	P3S1T2	P1S2T3	P3S2T2	P5S2T1	P3S2T1	P2S1T1	P3S2T3	P5S2T2	P1S1T1	P4S1T3	P2S1T3	P4S1T1	P5S2T3	P1S1T2	P4S2T1	P2S2T1	P4S1T2	P6S1T2	P1S1T3	P4S2T3	P2S2T2	P4S2T2	P6S1T3	P1S2T1	P6S1T1	P2S2T3	P5S1T1	P6S2T1	P1S2T2	P3S1T1	P5S1T2	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
otu19	101	92	48	52	198	38	85	85	72	70	0	96	19	86	54	47	33	51	115	147	114	0	7	193	64	66	0	0	92	55	66	114	0	12	0	128	Eukaryota__Basidiomycota__Agaricomycetes__Agaricales__Agaricaceae__Agaricus__Agaricus bisporus	Agaricaceae	9	Saprotroph	Undefined Saprotroph	Agaricoid-Gasteroid-Secotioid	NULL	Probable	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
otu80	7	11	0	915	0	7	11	0	1	19	0	0	32	1	7	0	10	14	14	12	9	2	0	17	1036	0	14	0	0	4	17	11	0	0	0	0	Eukaryota__Ascomycota__Dothideomycetes__Botryosphaeriales__Botryosphaeriaceae__Diplodia__Diplodia corticola	Diplodia	13	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Cause of soft-rot; Epiphyte detection method-culture (Carisse et al. 2000)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Carisse O, et al. 2000.Phytopathology 90:31-37 ((https://doi.org/10.1094/PHYTO.2000.90.1.31))'
otu81	24	12	2	2	2	563	16	4	0	16	3	4	2	16	20	26	24	17	18	0	10	28	625	24	1	9	0	2	5	0	2	520	8	10	10	28	Eukaryota__Ascomycota__Sordariomycetes__Glomerellales__Glomerellaceae__Colletotrichum__Colletotrichum orchidophilum	Colletotrichum	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Probable	NULL	b'Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
otu12	61	55	62	49	41	55	181	60	13	19	6	115	98	84	36	13	86	40	67	52	29	68	34	97	112	11	39	0	68	0	27	92	65	102	33	27	Eukaryota__Ascomycota__Leotiomycetes__Helotiales__Helotiaceae__Glarea__Glarea lozoyensis	Glarea	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu2	31	17	44	67	74	44	74	58	53	28	35	93	84	90	18	37	66	84	45	86	70	105	20	104	20	41	37	35	66	0	57	47	29	50	57	53	Eukaryota__Basidiomycota__Agaricomycetes__Hymenochaetales__Hymenochaetaceae__Fomitiporia__Fomitiporia mediterranea	Fomitiporia	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Polyporoid	White Rot	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu45	21	156	29	11	40	40	60	23	27	24	12	8	14	42	9	172	29	12	72	21	168	45	21	15	57	90	19	5	26	35	60	27	22	41	28	0	Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Sordariaceae__Neurospora__Neurospora crassa	Neurospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu61	15	27	17	35	67	24	77	47	22	12	32	42	58	24	42	13	21	34	56	35	15	46	0	160	20	41	29	0	110	61	12	40	17	29	24	43	Eukaryota__Basidiomycota__Agaricomycetes__Polyporales__Polyporaceae__Trametes__Trametes versicolor	Trametes	13	Saprotroph	Wood Saprotroph	Polyporoid	White Rot	Highly Probable	NULL	b'Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)'
otu77	36	5	64	71	53	7	71	43	14	12	28	35	25	78	40	14	72	47	54	57	0	29	23	119	20	69	45	0	41	0	39	18	27	8	16	52	Eukaryota__Basidiomycota__Agaricomycetes__Russulales__Stereaceae__Stereum__Stereum hirsutum	Stereum	13	Saprotroph	Undefined Saprotroph	NULL	White Rot	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu13	50	30	39	61	27	50	43	45	21	34	60	56	74	25	28	20	46	19	57	62	2	35	7	62	19	46	37	23	36	0	16	37	28	30	27	30	Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Clavicipitaceae__Pochonia__Pochonia chlamydosporia	Pochonia	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu101	0	288	1	4	0	59	3	30	1	47	79	9	6	2	2	52	34	2	3	44	151	57	2	64	282	3	2	3	3	0	17	1	2	1	3	1	Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Nectriaceae__Fusarium__Fusarium oxysporum	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Probable	Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'
otu21	8	103	47	42	3	73	38	47	21	32	51	21	20	22	3	6	39	34	14	61	15	17	21	34	161	57	56	17	6	3	39	3	19	16	22	13	Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Chaetomiaceae__Chaetomium__Chaetomium globosum	-	-	-	-	-	-	-	Unassigned	-
otu28	3	12	1	37	29	20	51	22	0	38	6	149	54	41	32	0	67	7	29	69	23	149	0	14	77	40	54	15	7	0	18	0	29	18	6	4	Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Fonsecaea__Fonsecaea erecta	Fonsecaea	13	Pathotroph-Saprotroph	Animal Pathogen-Soil Saprotroph	Dimorphic Yeast	NULL	Probable	Fonsecaea pedrosoi is soil-borne and the major etiological agent of chromoblastomycosis, a chronic disease that can affect immunocompetent hosts (Cunha et al. 2010)	b'Cunha MML, et al. 2010 ((https://doi.org/10.1186/1471-2180-10-80)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); https://www.cdc.gov ((https://www.cdc.gov))'
otu8	20	46	13	20	19	28	12	41	18	35	25	14	20	33	30	48	38	19	27	33	31	30	33	33	35	29	22	15	22	25	53	12	15	29	45	15	Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Pichiaceae__Pichia__Pichia kudriavzevii	Pichia	13	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Yeast	NULL	Probable	Found in wood and digestive systems of the beetle Odontotaenius disjunctus; Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))'
otu65	100	2	0	6	52	1	13	2	3	1	0	1	87	4	12	2	0	4	5	4	0	0	175	11	22	0	2	131	12	112	0	36	142	18	0	4	Eukaryota__Ascomycota__Leotiomycetes__Unclassified__Pseudeurotiaceae__Pseudogymnoascus__Pseudogymnoascus verrucosus	Pseudogymnoascus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	NULL	NULL	Possible	It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013), and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers. comm. Lindner DL)	b'Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649 ((https://doi.org/10.1016/j.funbio.2013.07.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu117	0	33	104	64	17	61	22	95	0	55	29	40	41	22	0	0	38	1	20	43	37	36	6	51	14	0	0	0	44	18	17	0	17	1	0	34	Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Penicillium__Penicillium digitatum	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	NULL	b'Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
otu139	0	7	20	79	28	3	77	31	49	29	0	39	47	16	2	9	46	24	17	62	17	40	29	23	12	62	20	2	33	0	3	0	0	3	29	77	Eukaryota__Basidiomycota__Agaricomycetes__Polyporales__Polyporaceae__Dichomitus__Dichomitus squalens	Dichomitus	13	Saprotroph	Wood Saprotroph	Corticioid	White Rot	Highly Probable	NULL	b'Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)'
otu71	60	13	12	0	27	0	53	69	18	0	11	18	14	34	30	0	19	12	49	43	12	40	17	33	29	22	18	0	49	0	35	27	13	24	18	57	Eukaryota__Basidiomycota__Agaricomycetes__Corticiales__Punctulariaceae__Punctularia__Punctularia strigosozonata	Punctularia	13	Saprotroph	Undefined Saprotroph	Corticioid	White Rot	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu14	10	26	24	18	6	38	30	65	15	44	34	48	27	20	14	42	39	12	2	50	17	31	14	21	30	23	11	24	43	7	32	6	7	3	40	1	Eukaryota__Ascomycota__Dothideomycetes__Capnodiales__Mycosphaerellaceae__Pseudocercospora__Pseudocercospora fijiensis	Pseudocercospora	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu154	0	0	34	44	17	75	13	21	5	39	0	25	53	9	24	15	56	22	30	26	0	40	11	27	72	24	14	11	37	5	62	0	0	0	0	4	Eukaryota__Ascomycota__Dothideomycetes__Capnodiales__Mycosphaerellaceae__Zymoseptoria__Zymoseptoria tritici	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
otu54	16	1	17	70	42	16	74	17	13	2	18	30	33	42	11	8	34	2	21	8	56	32	12	27	43	13	23	2	35	12	20	19	8	21	11	2	Eukaryota__Ascomycota__Leotiomycetes__Helotiales__Dermateaceae__Marssonina__Marssonina brunnea	Marssonina	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu98	0	19	21	28	0	0	32	26	27	0	0	75	11	34	0	0	52	34	30	44	16	59	17	60	57	0	20	0	16	19	44	15	24	21	0	1	Eukaryota__Ascomycota__Dothideomycetes__Botryosphaeriales__Botryosphaeriaceae__Neofusicoccum__Neofusicoccum parvum	Neofusicoccum	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu83	16	38	72	35	0	25	23	75	0	0	4	54	83	21	4	8	23	2	23	12	5	10	3	78	1	48	18	0	2	0	18	21	19	17	8	23	Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Aspergillus__Aspergillus niger	-	-	-	-	-	-	-	Unassigned	-
otu34	1	48	31	21	10	27	0	35	13	17	39	45	52	2	17	31	18	19	0	38	30	41	0	15	90	26	36	0	1	0	42	5	12	2	23	0	Eukaryota__Ascomycota__Dothideomycetes__Pleosporales__Phaeosphaeriaceae__Parastagonospora__Parastagonospora nodorum	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
otu42	13	12	14	21	22	12	27	26	0	36	5	27	0	20	23	0	10	28	82	41	34	10	5	22	0	11	18	10	63	21	22	17	22	43	5	24	Eukaryota__Basidiomycota__Agaricomycetes__Boletales__Coniophoraceae__Coniophora__Coniophora puteana	Coniophora	13	Saprotroph	Wood Saprotroph	Corticioid	Brown Rot	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
otu11	3	72	19	32	0	74	0	1	10	2	8	0	1	2	3	2	42	59	1	83	8	5	0	2	58	2	18	0	38	0	69	25	0	48	24	4	Eukaryota__Ascomycota__Pezizomycetes__Pezizales__Tuberaceae__Tuber__Tuber melanosporum	Tuberaceae	9	Symbiotroph	Ectomycorrhizal	Gasteroid	Hypogeous	Probable	Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
otu133	0	14	14	3	0	7	7	93	0	29	51	123	2	0	9	24	1	12	6	14	4	13	0	78	50	30	39	0	12	3	29	29	0	0	18	1	Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Hypocreaceae__Trichoderma__Trichoderma virens	Trichoderma	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
otu74	10	38	11	17	16	26	19	25	10	25	9	30	17	16	24	27	24	19	29	15	16	21	27	18	9	10	11	19	31	19	33	5	10	15	17	15	Eukaryota__Basidiomycota__Tremellomycetes__Tremellales__Cuniculitremaceae__Kockovaella__Kockovaella imperatae	Kockovaella	13	Symbiotroph	Epiphyte	Yeast	NULL	Probable	Foliar, isolated from a plant sample collected in a tropical rain forest in Thailand.	b'Fungsin B, et al. 2002. International Journal of Systematic and Evolutionary Microbiology 52:281-284 ((https://doi.org/10.1099/00207713-52-1-281))'
otu82	1	30	11	4	11	18	18	54	5	23	32	34	33	12	20	23	18	5	9	13	0	24	12	22	29	22	21	6	20	16	45	4	10	26	17	2	Eukaryota__Ascomycota__Leotiomycetes__Helotiales__Sclerotiniaceae__Sclerotinia__Sclerotinia sclerotiorum	Sclerotinia	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
