Feature.ID	111_R_unmap_paired	105_R_unmap_paired	110_R_unmap_paired	112_R_unmap_paired	121_R_unmap_paired	122_R_unmap_paired	123_R_unmap_paired	135_R_unmap_paired	140_R_unmap_paired	146_R_unmap_paired	152_R_unmap_paired	157_R_unmap_paired	158_R_unmap_paired	159_R_unmap_paired	164_R_unmap_paired	165_R_unmap_paired	169_R_unmap_paired	170_R_unmap_paired	176_R_unmap_paired	181_R_unmap_paired	182_R_unmap_paired	188_R_unmap_paired	98_R_unmap_paired	99_R_unmap_paired	100_R_unmap_paired	117_R_unmap_paired	129_R_unmap_paired	133_R_unmap_paired	134_R_unmap_paired	141_R_unmap_paired	145_R_unmap_paired	147_R_unmap_paired	153_R_unmap_paired	171_R_unmap_paired	177_R_unmap_paired	183_R_unmap_paired	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
1aa27a517738c6d7dcfc04ac15d291381d45643c	1	1	11	9	6	3	12	10	20	15	5	0	6	6	3	9	8	8	5	3	4	0	10	3	0	8	9	2	17	8	7	5	23	0	1	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__unidentified	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
e0089e6b4f04d78e98ef6435aea0bc7afd2caff2	0	3	3	2	5	6	8	10	6	6	5	14	6	3	13	8	10	4	14	2	0	7	3	10	9	5	1	9	9	3	5	6	2	1	6	11	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__unidentified	Tomentella	13	Symbiotroph	Ectomycorrhizal	Corticioid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
309ba257fddf3dfe2ff6f93a1fcc1eeeeb562769	6	4	2	5	16	5	4	13	8	9	3	0	3	4	5	2	2	8	7	6	5	1	11	6	4	3	2	2	16	4	12	7	18	0	4	3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
3aa8d375baab0c6e9bee12adbc9d340310bde820	6	8	5	8	2	5	1	3	5	3	5	8	9	2	6	9	7	2	8	7	11	6	1	8	2	16	0	2	6	5	0	3	5	7	5	5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales	-	-	-	-	-	-	-	Unassigned	-
492b0c077192ba38779f9167c11ec67367f2d2e2	15	2	0	3	7	4	3	5	5	2	2	9	13	17	3	4	9	15	3	13	3	8	4	7	1	1	9	1	7	3	1	2	0	2	0	2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__unidentified	Sebacina	13	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	NULL	NULL	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); Weiß, et al. 2016. New Phytologist 211;20-40 ((https://doi.org/10.1111/nph.13977)) (various guilds)
070281f2786d56a6ca53e8122ee193584181761a	4	1	5	8	1	6	1	8	7	12	6	3	5	1	17	4	2	0	15	0	14	4	4	5	8	1	2	3	3	7	0	4	4	9	2	8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	Cortinarius	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
3b31127422a0d371fd0574603000b61ee8cf6c76	2	1	6	25	3	7	5	8	3	1	1	3	4	3	19	1	11	0	11	3	4	1	2	18	4	3	3	0	3	0	0	2	7	5	5	4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
f1578d0679c8d63249284ad073385b42a66e7fef	6	5	1	10	10	3	5	1	0	3	11	6	5	6	17	3	4	0	6	5	7	7	8	1	8	2	2	3	8	5	1	3	0	3	4	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__unidentified	Inocybe	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	Sensu stricto (Matheny 2009).	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
567ee1ce9dad5d5c82d0826b1a8c6c37cdd1e440	7	3	2	2	0	3	5	8	4	9	4	8	8	0	6	18	2	5	0	7	1	5	1	2	3	5	2	3	12	6	4	9	9	0	4	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
575ba53ace7fb7761ddcfe87769013c1fb9776c8	2	4	1	20	5	5	6	6	2	6	8	3	5	3	17	0	3	0	17	1	5	1	2	10	3	0	0	0	9	1	0	2	7	0	0	8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Melanogastraceae	-	-	-	-	-	-	-	Unassigned	-
2a0c6bc4ea323a0a459008ee49f5e05fe48e4484	5	6	7	0	3	5	1	5	5	3	2	2	4	0	9	16	6	3	4	10	3	4	2	0	3	7	5	8	5	2	5	5	4	4	2	3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Ophiocordyceps;s__unidentified	Ophiocordyceps	13	Pathotroph-Symbiotroph	Endophyte-Insect Pathogen	Microfungus	NULL	Probable	Contains about 140 species that grow on insects (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
97032d16237e3cec25d2b082affd503981fab827	1	3	3	20	5	7	1	4	1	1	0	4	8	1	19	2	5	0	7	1	3	2	2	17	2	4	2	1	6	4	5	3	6	0	2	3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
e65748b66ae2f2060316a2256be609e52d0603c5	8	4	3	3	5	3	4	2	3	3	5	5	2	1	5	17	2	5	7	2	4	1	3	1	3	6	4	2	4	2	1	9	4	3	2	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
7d904792ffc02b5d95aadc751c806ab8008cb4c2	5	10	0	4	9	5	1	2	5	6	8	1	7	2	5	2	2	2	5	2	3	6	5	10	1	4	3	0	6	1	2	1	6	0	0	4	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
e20d25a4e83adce7c7cf00b0d7af128fcff66594	1	3	10	0	6	2	5	7	1	6	2	2	11	0	3	7	5	5	4	3	3	2	2	3	0	0	7	0	7	3	3	5	9	1	1	2	k__Fungi;p__Ascomycota;c__Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
51d83bcb4b236241183f8ec31c7518c10d0012cf	4	1	0	6	7	5	1	2	6	1	4	6	10	2	8	0	2	2	6	1	6	8	3	3	0	1	0	3	9	3	0	2	4	3	3	4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Lyophyllum	Lyophyllum	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
22732b34a0cbd2fbaa539adbb4e57c17d60e7ed2	5	4	4	5	2	10	1	5	7	5	2	0	3	1	15	1	0	0	2	1	6	12	0	2	2	4	3	0	4	0	1	1	0	1	4	10	k__Fungi;p__Basidiomycota;c__Agaricomycetes	-	-	-	-	-	-	-	Unassigned	-
f1c38662907a4b90876c83d2c5613d344089fd6d	7	0	3	0	4	6	1	1	8	0	4	5	8	1	3	8	9	4	3	13	0	9	1	4	1	0	7	0	5	2	0	4	0	0	1	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__unidentified	Sebacina	13	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	NULL	NULL	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); Weiß, et al. 2016. New Phytologist 211;20-40 ((https://doi.org/10.1111/nph.13977)) (various guilds)
46b40d7683fe055935fe6462c8da711019555225	5	6	10	2	4	6	0	6	5	5	3	0	3	0	9	5	1	2	2	2	2	2	4	2	2	7	4	1	6	1	3	4	4	2	0	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
0143caee935ed832e7471a05691df483faf8923f	2	7	3	1	3	5	1	4	5	6	1	1	3	1	4	10	8	4	3	1	1	5	0	2	1	3	1	3	4	3	3	3	6	4	0	4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	-	-	-	-	-	-	-	Unassigned	-
329f36229fbb2670c69f45664848742899d785f2	3	1	4	4	13	1	2	8	4	4	2	3	5	1	3	6	0	1	6	2	5	3	0	4	1	0	1	1	16	1	0	0	5	3	1	0	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
260a338928d69b23ed66c43f37fe515331f7d4b6	1	4	5	6	0	5	3	4	1	1	1	6	10	1	7	2	0	1	15	0	3	5	1	4	3	1	1	0	2	3	0	2	2	5	0	6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
1dbc0e7bef6916207af015758ff8ceb6e39ad7d1	2	13	7	5	10	4	3	2	6	0	1	2	3	0	7	3	5	4	2	6	3	3	0	3	0	2	1	1	3	1	2	3	3	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
e2d740c0f6f7ae941dd67e568601d6e57cb739bd	7	1	3	4	8	2	2	4	0	4	8	2	1	0	5	11	1	3	6	3	2	4	1	3	2	2	2	0	6	2	1	1	2	1	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	-	-	-	-	-	-	-	Unassigned	-
b18172b729649eb861ecda9b99b3133a3f208c92	4	0	0	3	0	2	1	5	0	9	1	0	5	2	14	0	0	0	11	0	20	2	2	4	0	0	0	0	1	7	0	2	0	3	2	3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	Cortinarius	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
3e57f1d0ff29f38817840e1a8739ee794042e151	3	1	2	7	6	0	2	5	2	2	1	6	3	4	4	1	6	0	15	1	2	0	0	4	7	1	1	0	3	2	1	5	1	0	3	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae	Thelephoraceae	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Clavarioid	NULL	Probable	On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
06a49b3f55788bd1fa5f7661118e53402f71e79e	2	0	4	1	2	12	1	8	2	1	5	0	2	3	21	0	0	0	1	0	4	11	1	2	2	1	0	2	3	0	0	0	0	0	0	5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	-	-	-	-	-	-	-	Unassigned	-
77bec79ada1b2b507f98be9e3cb91c1cdeb4310b	0	0	3	0	0	5	15	4	0	30	0	0	11	0	0	6	0	3	0	0	0	0	0	2	0	1	0	3	9	1	0	0	2	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__unidentified	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
9c8978b843831cf35fddda066343b6c8caa2f40d	4	3	1	5	9	0	5	2	5	1	2	0	0	2	3	6	2	4	3	8	2	2	1	2	0	2	0	2	9	2	0	2	3	2	1	0	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
3e33e08160f79886195710d84729ed9ef8fffc12	5	1	0	7	12	3	3	2	3	1	0	0	4	2	0	4	3	3	0	1	0	0	5	2	1	2	2	2	3	1	0	12	7	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales	-	-	-	-	-	-	-	Unassigned	-
0f1331e0a58d6ab64dc496bd36c1103eae0c956a	7	7	4	2	3	2	2	3	1	3	1	1	0	2	5	12	4	0	1	3	0	1	0	5	3	0	0	2	3	1	7	1	3	0	1	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	-	-	-	-	-	-	-	Unassigned	-
