#OTU ID	kraken_fungi_100_report_bracken	kraken_fungi_105_report_bracken	kraken_fungi_110_report_bracken	kraken_fungi_111_report_bracken	kraken_fungi_112_report_bracken	kraken_fungi_117_report_bracken	kraken_fungi_121_report_bracken	kraken_fungi_122_report_bracken	kraken_fungi_123_report_bracken	kraken_fungi_129_report_bracken	kraken_fungi_133_report_bracken	kraken_fungi_134_report_bracken	kraken_fungi_135_report_bracken	kraken_fungi_140_report_bracken	kraken_fungi_141_report_bracken	kraken_fungi_145_report_bracken	kraken_fungi_146_report_bracken	kraken_fungi_147_report_bracken	kraken_fungi_152_report_bracken	kraken_fungi_153_report_bracken	kraken_fungi_157_report_bracken	kraken_fungi_158_report_bracken	kraken_fungi_159_report_bracken	kraken_fungi_164_report_bracken	kraken_fungi_165_report_bracken	kraken_fungi_169_report_bracken	kraken_fungi_170_report_bracken	kraken_fungi_171_report_bracken	kraken_fungi_176_report_bracken	kraken_fungi_177_report_bracken	kraken_fungi_181_report_bracken	kraken_fungi_182_report_bracken	kraken_fungi_183_report_bracken	kraken_fungi_188_report_bracken	kraken_fungi_98_report_bracken	kraken_fungi_99_report_bracken	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
1578925	4775.0	7048.0	6001.0	6154.0	4775.0	6978.0	5432.0	5863.0	5834.0	5984.0	4940.0	5791.0	5703.0	5362.0	5825.0	6564.0	6193.0	5458.0	4772.0	6216.0	5414.0	5727.0	4974.0	5687.0	6590.0	6671.0	6892.0	5584.0	6115.0	4672.0	6604.0	5195.0	4959.0	6053.0	5571.0	5999.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__pennisetigena	Pyricularia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
181124	4663.0	3523.0	3654.0	7400.0	7630.0	4422.0	8046.0	6664.0	4553.0	4866.0	3245.0	8067.0	6409.0	5767.0	4682.0	3027.0	6011.0	5450.0	6398.0	7517.0	4063.0	6740.0	2869.0	10973.0	4377.0	4604.0	4450.0	2846.0	9142.0	2821.0	4434.0	4425.0	4418.0	5074.0	4594.0	5886.0	k__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Marasmiaceae; g__Marasmius; s__oreades	Marasmius	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	Agaricoid	NULL	Probable	Often one of the most prominent fungal components of tropical forests, playing a major role in nutrient cycling (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
1047171	4136.0	5543.0	4779.0	5236.0	4101.0	5655.0	5469.0	5039.0	4495.0	5140.0	4247.0	5492.0	5110.0	4680.0	5027.0	4967.0	5816.0	4691.0	4443.0	5619.0	4927.0	5289.0	4418.0	5572.0	6130.0	5669.0	5305.0	4842.0	5654.0	4048.0	5604.0	4761.0	4619.0	5089.0	4466.0	4972.0	k__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Zymoseptoria; s__tritici	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
148305	3623.0	5093.0	4572.0	4485.0	3644.0	4919.0	4338.0	4551.0	4452.0	4289.0	3883.0	4272.0	4276.0	4092.0	4198.0	4958.0	4711.0	3954.0	3571.0	4702.0	4005.0	4216.0	3740.0	4456.0	4987.0	5045.0	5012.0	4283.0	4737.0	3303.0	5009.0	4181.0	3857.0	4311.0	4100.0	4647.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__grisea	Pyricularia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
5270	4085.0	4824.0	3801.0	4767.0	3767.0	4937.0	3869.0	3988.0	4360.0	4309.0	3666.0	3997.0	4128.0	4126.0	4617.0	4968.0	4489.0	4114.0	3901.0	4500.0	4411.0	4401.0	3783.0	4122.0	4396.0	4818.0	4960.0	4075.0	4702.0	3930.0	5194.0	4192.0	3924.0	4618.0	3875.0	4597.0	k__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Ustilago; s__maydis	Ustilago	13	Pathotroph	Plant Pathogen	Facultative Yeast-Smut	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
1069201	3082.0	4604.0	4244.0	4715.0	3421.0	4752.0	4829.0	4896.0	3502.0	3981.0	3174.0	5288.0	4792.0	4309.0	3565.0	3780.0	4502.0	3494.0	3796.0	4876.0	3720.0	4961.0	3216.0	5139.0	5074.0	4183.0	4529.0	3287.0	4260.0	2767.0	4673.0	3509.0	3418.0	3886.0	3298.0	3712.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__luchuensis	-	-	-	-	-	-	-	Unassigned	-
121627	2664.0	3675.0	3940.0	3821.0	3152.0	3916.0	4059.0	5244.0	3413.0	3628.0	2640.0	5094.0	7241.0	3517.0	3158.0	3232.0	4714.0	3588.0	3688.0	4196.0	3172.0	4401.0	2850.0	4388.0	4428.0	3571.0	3904.0	3120.0	3876.0	2441.0	3942.0	3189.0	3240.0	3437.0	5635.0	3690.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__rugulosus	Talaromyces	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
280754	3688.0	3764.0	3749.0	5042.0	3108.0	4160.0	4457.0	4624.0	3321.0	4065.0	2991.0	5090.0	4843.0	3909.0	3619.0	3253.0	4352.0	3264.0	3758.0	4163.0	3089.0	3896.0	3002.0	4861.0	4388.0	4043.0	3931.0	3047.0	4293.0	2605.0	3693.0	3412.0	3222.0	3520.0	3473.0	3822.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Pochonia; s__chlamydosporia	Pochonia	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
746128	2910.0	4103.0	3804.0	4075.0	2874.0	4319.0	3797.0	3695.0	3469.0	3644.0	2937.0	4496.0	4197.0	3636.0	3485.0	3905.0	4148.0	3434.0	3390.0	3865.0	4036.0	3957.0	3017.0	4111.0	4217.0	4021.0	3923.0	3427.0	3972.0	2785.0	4099.0	3163.0	3244.0	3687.0	3313.0	3650.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__fumigatus	-	-	-	-	-	-	-	Unassigned	-
456999	3168.0	2620.0	2804.0	5870.0	4301.0	3169.0	4962.0	3673.0	3012.0	3049.0	2195.0	4500.0	4148.0	3640.0	3042.0	2327.0	3620.0	3974.0	4137.0	4250.0	2924.0	3671.0	2648.0	5771.0	3428.0	3403.0	3316.0	2368.0	5503.0	2339.0	3374.0	3474.0	3180.0	3922.0	2705.0	3819.0	k__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Rhizoctonia; s__solani	Ceratobasidiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endomycorrhizal-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Possible	Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
122368	2627.0	4030.0	3279.0	4009.0	2961.0	3989.0	4278.0	3840.0	3030.0	3513.0	2822.0	4324.0	3821.0	3369.0	3352.0	3235.0	4556.0	3166.0	3285.0	4147.0	2849.0	4689.0	2877.0	4180.0	5289.0	3495.0	3924.0	3014.0	3826.0	2481.0	3631.0	3128.0	2980.0	3328.0	2963.0	3294.0	k__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Cercospora; s__beticola	Cercospora	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
5062	2181.0	4203.0	3095.0	3904.0	2901.0	4039.0	3747.0	4871.0	2509.0	3741.0	3099.0	5723.0	4929.0	2807.0	3117.0	3277.0	3973.0	3084.0	3144.0	3891.0	2890.0	4774.0	2358.0	5500.0	5684.0	3344.0	3784.0	2131.0	3581.0	1680.0	4017.0	2715.0	2277.0	2886.0	2815.0	3098.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__oryzae	-	-	-	-	-	-	-	Unassigned	-
76775	2957.0	3983.0	3167.0	3829.0	2945.0	4119.0	3559.0	3676.0	3470.0	3686.0	3124.0	3642.0	3238.0	3293.0	3368.0	3748.0	3766.0	3262.0	3061.0	3761.0	3456.0	3454.0	3077.0	3546.0	3435.0	4011.0	3642.0	3433.0	3861.0	2749.0	3895.0	3234.0	3071.0	3474.0	3318.0	3559.0	k__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__restricta	Malassezia	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Facultative Yeast	NULL	Probable	A lipid-dependent fungus growing on the sebaceous areas of human skin that may cause or exacerbate several skin diseases (Pityrosporum is a synonym that has been used for the yeast forms)	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Findley K, et al. 2013. Nature 498:367-370 ((https://doi.org/10.1038/nature12171))
56646	2586.0	3700.0	2833.0	3486.0	2851.0	3658.0	3758.0	3450.0	2805.0	3602.0	2526.0	4135.0	3584.0	3233.0	3191.0	3241.0	4049.0	2975.0	2928.0	3948.0	3453.0	3723.0	2725.0	4014.0	4901.0	3531.0	3541.0	2713.0	3973.0	2267.0	3527.0	2957.0	2622.0	3198.0	2811.0	3104.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__venenatum	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
1220207	2620.0	3569.0	3215.0	3587.0	2832.0	3775.0	3635.0	3317.0	3010.0	3286.0	2690.0	3753.0	3416.0	3089.0	3019.0	3282.0	3668.0	3004.0	2836.0	3595.0	3113.0	3330.0	2716.0	3492.0	3764.0	3607.0	3549.0	3031.0	3570.0	2397.0	3640.0	2895.0	2826.0	3143.0	2953.0	3172.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__puulaauensis	-	-	-	-	-	-	-	Unassigned	-
40559	2436.0	3393.0	2397.0	5992.0	2650.0	3592.0	4572.0	3004.0	2555.0	3613.0	1921.0	4436.0	3859.0	3596.0	2929.0	2355.0	3701.0	2620.0	3300.0	3309.0	2629.0	3508.0	2412.0	3942.0	4223.0	2576.0	2884.0	2438.0	3751.0	2290.0	3220.0	2675.0	2463.0	3291.0	2258.0	2831.0	k__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Botrytis; s__cinerea	Botrytis	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx))
182096	2330.0	3374.0	3126.0	3791.0	2397.0	3457.0	3501.0	3124.0	2661.0	2945.0	2290.0	3900.0	3486.0	2961.0	2860.0	2790.0	3253.0	2849.0	3028.0	3346.0	2618.0	3231.0	2344.0	3783.0	3673.0	3062.0	3253.0	2550.0	3466.0	2076.0	3278.0	2873.0	2483.0	2857.0	2578.0	2936.0	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__chevalieri	-	-	-	-	-	-	-	Unassigned	-
4952	1973.0	2533.0	2226.0	2432.0	2072.0	2596.0	2406.0	2380.0	2247.0	2274.0	1917.0	2265.0	2330.0	2197.0	2155.0	2491.0	2441.0	2204.0	2060.0	2446.0	2177.0	2319.0	2232.0	2338.0	2431.0	2581.0	2325.0	2430.0	2562.0	1912.0	2531.0	2218.0	2133.0	2360.0	2192.0	2455.0	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Yarrowia; s__lipolytica	Yarrowia	13	Saprotroph	Undefined Saprotroph	Yeast	NULL	Highly Probable	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
5507	1799.0	3309.0	2007.0	2648.0	1895.0	2620.0	2390.0	2386.0	1966.0	2336.0	2004.0	2574.0	2395.0	2188.0	2163.0	2185.0	2590.0	2057.0	1944.0	2986.0	2413.0	2520.0	1933.0	2766.0	3695.0	2221.0	2279.0	1921.0	2353.0	1590.0	2369.0	1941.0	1842.0	2185.0	1856.0	2054.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__oxysporum	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
4896	1964.0	2387.0	1699.0	2625.0	2159.0	2586.0	2227.0	2121.0	2029.0	2207.0	1492.0	2211.0	2554.0	2309.0	2139.0	1971.0	2326.0	1984.0	2345.0	2482.0	2142.0	2274.0	2133.0	2522.0	2592.0	1856.0	2160.0	1964.0	2684.0	2005.0	2156.0	1805.0	1785.0	1961.0	1819.0	2271.0	k__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__pombe	Schizosaccharomyces	13	Saprotroph	Undefined Saprotroph	Yeast	NULL	Highly Probable	Fission yeast	Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471)); James TY, et al. 2006. Nature, 443:818-822 ((James TY, et al. 2006. Nature, 443, 818-822))
37769	1731.0	1857.0	1778.0	2699.0	2048.0	2174.0	2361.0	2247.0	1856.0	1969.0	1427.0	2429.0	2197.0	2104.0	1888.0	1757.0	2209.0	2144.0	2152.0	2396.0	1920.0	2139.0	1823.0	2818.0	2079.0	1997.0	2088.0	1661.0	2648.0	1615.0	2044.0	1861.0	1815.0	2013.0	1798.0	2180.0	k__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__gattii VGI	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Dimorphic Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
